Geographic Area,Total Population (As Estimated April 2019),Total Cases,Total Deaths,Currently Active Cases,Recovered ,Total Tests
Alabama,4903185,6253,213,6020,20,71344
Alaska,731545,339,9,113,217,15732
Arizona,7278717,6526,275,6181,70,64811
Arkansas,3017804,2938,48,1905,985,39327
California,39512223,42688,1695,37656,3337,494173
Colorado,5758736,12968,672,11737,559,59791
Connecticut,3565287,24582,1862,22655,65,77602
Delaware,973764,4034,120,3003,911,19249
Florida,21477737,31528,1074,29768,686,346365
Georgia,10617423,23401,912,22458,31,122604
Guam,"164,229",141,5,10,126,7623
Hawaii,1415872,604,14,108,482,28272
Idaho,1787065,1170,56,964,150,19361
Illinois,12671821,41777,1874,39297,606,201617
Indiana,6732219,15012,813,14185,14,81708
Iowa,3155070,5475,118,3754,1603,31973
Kansas,2913314,3135,120,2512,503,25199
Kentucky,4467673,3905,205,2578,1122,46558
Louisiana,4648794,26773,1729,10117,14927,142056
Maine,1344212,1015,50,433,532,17721
Maryland,6045680,18581,910,16494,1177,96665
Massachusetts,6892503,53348,2730,42500,8118,226845
Michigan,9986857,37023,3274,25587,8162,144044
Minnesota,5639632,3602,272,1556,1774,58987
Mississippi,2976149,5911,227,5684,0,60788
Missouri,6137428,6881,283,6051,547,67017
Montana,1068778,448,14,95,339,12862
Nebraska,1934408,2732,53,2657,22,21377
Nevada,3080156,4539,206,2492,1841,45885
New Hampshire,1359711,1787,60,1177,550,17727
New Jersey,8882190,109038,5938,101829,1271,223062
New Mexico,2096829,2660,93,1953,614,51510
New York,19453561,288313,22275,234820,31218,777568
North Carolina,10488084,8946,314,7330,1302,107894
North Dakota,762062,867,17,524,326,20447
Ohio,11689100,15587,711,14756,120,111379
Oklahoma,3956971,3253,195,919,2139,53012
Oregon,4217737,2253,87,2166,0,47377
Pennsylvania,12801989,41697,1804,39243,650,192235
Puerto Rico,3193694,1371,84,896,391,11633
Rhode Island,1059361,7439,226,6871,342,53403
South Carolina,5148714,5253,166,1386,3701,49014
South Dakota,884659,2212,11,1011,1190,15596
Northern Mariana Islands,"55,144",14,2,1,11,45
Tennessee,6829174,9189,178,4544,4467,141406
Texas,28995881,24631,648,13997,9986,276021
US Virgin Islands,"107,268",57,4,2,51,776
Utah,3205958,3948,41,3019,888,90206
Vermont,623989,851,46,805,0,14797
Virginia,8535519,12970,448,10707,1815,76118
Washington,7614893,13319,738,10774,1807,170594
West Virginia,1792147,1044,34,785,225,39063
Wisconsin,5822434,5687,266,3108,2313,62825
Wyoming,578759,491,7,163,321,7623
,,,,,,
United States,331759858,970757,54941,797183,118633,5276955
